Original,Canonical,Changed
probably france,france,True
probably from albania,albania,True
probably from the balkans,balkans,True
probably gaul,gaul,True
probably georgia,georgia,True
probably greece,greece,True
probably greece or constantinople,greece,True
probably hungary,hungary,True
probably india,india,True
probably central iran,iran,True
probably central india,india,True
probably british isles,british isles,True
present-day turkey [manuscript],turkey,True
present-day china,china,True
present-day israel,israel,True
present-day kirghiztan,kyrgyzstan,True
present-day lebanon,lebanon,True
present-day poland,poland,True
present-day saudi arabia,saudi arabia,True
present-day spain,spain,True
present-day turkmenistan,turkmenistan,True
probably balkans or turkey,balkans,True
present-day uzbekistan and afghanistan,uzbekistan,True
prinsenhof (delft),delft,True
probably  northern europe,northern europe,True
probably afghanistan,afghanistan,True
probably algeria,algeria,True
probably austria,austria,True
probably balkans or anatolia,balkans,True
birma,burma,True
tạdạ,tada,True
austrian,austria,True
"dutch east indies, the",dutch east indies,True
's-gravenzande,s-gravenzande,True
's-heer arendskerke,s-heer arendskerke,True
dundee (schotland),dundee,True
münster,munster,True
springfield (massachusetts),springfield,True
spui (amsterdam),spui,True
namen (stad),namur,True
hamburg (stad),hamburg,True
bangor (gwynedd),bangor,True
bangor (maine),bangor,True
straatsburg (frankrijk),straatsburg,True
korfoe,corfu,True
nayarit state,nayarit,True
beek (gelderland),beek,True
allgáuer alpen,allgäuer alpen,True
suezkanaal,suez canal,True
cambridge (ma),cambridge,True
koninklijke houtvesterij het loo,het loo,True
beieren,bavaria,True
neurenberg,nuremberg,True
bethanië,bethanie,True
's lands plantentuin,s lands plantentuin,True
düsseldorf,dusseldorf,True
sumatera barat (province),sumatera barat,True
californië,california,True
bagdad,baghdad,True
milaan,milan,True
groningen (province),groningen,True
present-day afghanistan,afghanistan,True
bulgarije,bulgaria,True
bergen (noord-holland),bergen,True
bern (gelderland),bern,True
berne (noord-brabant),berne,True
byzantine egypt,egypt,True
moskou,moscow,True
lampong,lampung,True
bergen (belgië),bergen,True
museo nazionale (napels),naples,True
göttingen,gottingen,True
musée du louvre,louvre museum,True
baden (zwitserland),baden,True
myanmar (formerly burma),myanmar,True
baden (duitsland),baden,True
mühlberg,muhlberg,True
münchen,munich,True
berninapas,bernina pass,True
bazel,basel,True
klein-azië,asia minor,True
bagijnhof (dordrecht),bagijnhof,True
dolomieten,dolomites,True
hasselt (overijssel),hasselt,True
baptisterium (florence),florence,True
noord-brabant,north brabant,True
beukelsdijk (delfshaven),delfshaven,True
noord-holland,north holland,True
algeria or morocco,algeria,True
noord-italië,northern italy,True
noord-nederland,northern netherlands,True
noord-sumatra,north sumatra,True
beurs (brussel),brussel,True
beurs van berlage,amsterdam,True
barentszzee,barentsz sea,True
syrië,syria,True
west-java,west java,True
west-friesland,west frisia,True
west-europa,western europe,True
beursplein (rotterdam),rotterdam,True
abdij göttweig,göttweig abbey,True
abdij riddagshausen,riddagshausen abbey,True
baptisterium (pisa),pisa,True
kanton,guangdong,True
caïro,cairo,True
noord- en centraal amerika,north and central america,True
bedford (verenigd koninkrijk),bedford,True
algeria or tunisia,algeria,True
possibly spain,spain,True
all saints' church (walsoken),walsoken,True
new york (city),new york city,True
"capri, isola di",capri,True
all saints' church (elm),elm,True
catanië,catania,True
abaco-eilanden,abaco islands,True
niagara falls (noord-amerika),niagara falls,True
possibly italy,italy,True
kasteel van versailles,versailles,True
catskillgebergte,catskill mountains,True
bethlehem (israël),bethlehem,True
kasteel van blois,blois,True
bethlehem (zuid-afrika),bethlehem,True
bedford (pennsylvania),bedford,True
basiliek van san marco,st. mark's basilica,True
possibly germany,germany,True
alicante (stad),alicante,True
"algeria, tunisia, or morocco",algeria,True
bedford (massachusetts),bedford,True
possibly france,france,True
midden-oosten,middle east,True
midden-java,central java,True
nova zembla,novaya zemlya,True
fürstenberg,furstenberg,True
balkan region,balkan,True
balearen,balearic islands,True
amer (india),amer,True
america,united states,True
maagdenburg,magdeburg,True
maas,meuse,True
québec,quebec,True
pyreneeën,pyrenees,True
bohemen,bohemia,True
bellagio (italië),bellagio,True
zuid-afrika,south africa,True
france?,france,True
belgrado,belgrade,True
probably syria,syria,True
probably netherlands,netherlands,True
bakoe,baku,True
boekit-asam,bukit asam,True
boedapest,budapest,True
zürich (stad),zurich,True
benin or gabon,benin,True
malay,malaysia,True
zuid-frankrijk,southern france,True
balkans or turkey,turkey,True
belgium or germany,belgium,True
rijksmuseum amsterdam,amsterdam,True
alton (wiltshire),alton,True
beludshistan,balochistan,True
genève,geneva,True
georgië,georgia,True
zutphen (stad),zutphen,True
louvain,leuven,True
los angeles (stad),los angeles,True
amber (india),amber,True
zuid-nederland,southern netherlands,True
luxemburg (belgische provincie),luxembourg,True
zuid-holland,south holland,True
"ballon, lac du",lac du ballon,True
luxemburg (land),luxembourg,True
amblève,amblèv,True
belmont (noord-kaap),belmont,True
zweden,sweden,True
germany?,germany,True
bengalen,bengal,True
luxemburg (stad),luxembourg city,True
luzern,lucerne,True
rijnland-palts,rhineland-palatinate,True
belgium?,belgium,True
lissabon,lisbon,True
alsenbrücke (berlin-moabit),berlin-moabit,True
bergamo (provincie),bergamo,True
scandinavië,scandinavia,True
's gravenmoer,s gravenmoer,True
banda-eilanden,banda islands,True
bandaneira,banda neira,True
grand canyon (arizona),grand canyon,True
graubünden (kanton),graubunden,True
schotland,scotland,True
bern (kanton),bern,True
bejaïa,beja,True
beiroet,beirut,True
egypte,egypt,True
angola or democratic republic of the congo,angola,True
mexico-stad,mexico city,True
begijnhof (amsterdam),amsterdam,True
brussel (gewest),brussels,True
berlijn (deelstaat),berlin,True
griekenland,greece,True
berliner stadtschloss,berlin,True
sixtijnse kapel (vaticaan),vatican,True
present-day france,france,True
edo (historische plaatsnaam),edo,True
altdorf (uri),altdorf,True
bahama's,bahamas,True
flanders,belgium,True
île-de-france,ile-de-france,True
bocholt (duitsland),bocholt,True
belgium and france,belgium,True
coromandelkust,coromandel coast,True
ancient egypt,egypt,True
ancient europe,europe,True
ancient near east,near east,True
probably iran,iran,True
andalusië,andalusia,True
belfort (brugge),brugge,True
marokko,morocco,True
baikalmeer,lake baikal,True
ewijkshoeve (zeist),ewijkshoeve,True
probably germany,germany,True
probably egypt,egypt,True
saksen,saxony,True
present-day uzbekistan,uzbekistan,True
san marcoplein,san marco square,True
present-day pakistan,pakistan,True
bindjai langkat,bindjai,True
present-day greece,greece,True
épinal,epinal,True
"bar-sur-loup, le",le bar-sur-loup,True
genua,genoa,True
nubia (sudan),nubia,True
ieper (stad),ieper,True
austria or germany,germany,True
austria or italy,italy,True
austria (mounts),austria,True
colima state,colima,True
akershus festning,akershus fortress,True
australia or papua new guinea,papua new guinea,True
toscane,tuscany,True
akropolis,acropolis,True
vlaanderen,flanders,True
abruzzi,abruzzo,True
palestina,palestine,True
beër sjeva,be'er sheva,True
azerbeidzjan,azerbaijan,True
turijn,turin,True
voor-indië,east indies,True
baskenland,basque country,True
ancient mediterranean,mediterranean,True
perugia (stad),perugia,True
ancient greece,greece,True
palais de fontainebleau,fontainebleau,True
iraq or syria,iraq,True
alamania,germany,True
costa rica or panama,costa rica,True
congo (land),congo,True
padang (stad),padang,True
hoorn (north holland),hoorn,True
austria / germany,germany,True
indië,india,True
tsjechoslowakije,czechoslovakia,True
ahmedabad (district),ahmedabad,True
bath (pennsylvania),bath,True
iran or turkey,iran,True
turkije,turkey,True
biblioteca apostolica vaticana,vatican apostolic library,True
atjeh,aceh,True
achterstraat (hoorn),achterstraat,True
paramaribo (stad),paramaribo,True
"azerbaijan, armenia or georgia",georgia,True
barnes (verenigd koninkrijk),barnes,True
tunesië,tunisia,True
tsjechië,czech republic,True
utica (new york),utica,True
vaticaanse musea,vatican museums,True
bhutan or sikkim,bhutan,True
vaticaanstad,vatican city,True
achterom (hoorn),achterom,True
athene,athens,True
achaea department,achaea,True
hongarije,hungary,True
bikini (atol),bikini atoll,True
"austria (now italy, trentino-alto adige)",trentino-alto adige,True
holland,netherlands,True
jakarta (stad),jakarta,True
jeruzalem,jerusalem,True
palembang (city),palembang,True
beyazıt-toren,beyazıt tower,True
united states of america,united states,True
copenhagen (city),copenhagen,True
baai van san francisco,san francisco bay,True
azië,asia,True
algerije,algeria,True
abdij van furness,furness abbey,True
oost-sumatra,east sumatra,True
kaapstad,cape town,True
peking,beijing,True
alexandrië,alexandria,True
wallis (kanton),wallis,True
aken,aachen,True
oost-java,east java,True
the netherlands,netherlands,True
albury (australië),albury,True
abdij van grimbergen,grimbergen abbey,True
waltham (massachusetts),waltham,True
ahmedabad (stad),ahmedabad,True
ierland,ireland,True
oost-europa,eastern europe,True
adriatische zee,adriatic sea,True
india or iran,india,True
abdij van einsiedeln,einsiedeln abbey,True
valkenburg (limburg),valkenburg,True
afrika,africa,True
curaçao,curacao,True
agano (stad),agano,True
austrians,austria,True
colombia or ecuador,colombia,True
alpen,alps,True
iran or iraq,iran,True
abdij van iona,iona abbey,True
thessalía,thessaly,True
"adams street, 287 west (old)","adams street, 287 west",True
persia,iran,True
istanboel,istanbul,True
beyazit-plein,beyazit square,True
aboe simbel,abu simbel,True
israël,israel,True
amstel (rivier),amstel,True
albany (new york),albany,True
abdij van tintern,tintern abbey,True
austria?,austria,True
austria (possibly),austria,True
abdij van maulbronn,maulbronn abbey,True
iran or central asia,iran,True
abdij van rievaulx,rievalx abbey,True
constantinopel,constantinople,True
marken,marken,False
pointe-à-pitre,pointe-à-pitre,False
marienbad,marienbad,False
meissen,meissen,False
poeldijk,poeldijk,False
massachusetts,massachusetts,False
merano,merano,False
plombières-les-bains,plombières-les-bains,False
mediterranean region,mediterranean region,False
medemblik,medemblik,False
plymouth,plymouth,False
poeloe-bras,poeloe-bras,False
messina,messina,False
menton,menton,False
poederoijen,poederoijen,False
mechelen,mechelen,False
papua new guinea,papua new guinea,False
pointe du raz,pointe du raz,False
plzeñ,plzeñ,False
medan,medan,False
plougastel-daoulas,plougastel-daoulas,False
pointe saint-mathieu,pointe saint-mathieu,False
panama,panama,False
ploumanach,ploumanach,False
marseille,marseille,False
materborn,materborn,False
plymouth rock,plymouth rock,False
mainz,mainz,False
plein,plein,False
plaça reial,plaça reial,False
madhya pradesh,madhya pradesh,False
madeira,madeira,False
maastricht,maastricht,False
plailly,plailly,False
placer county,placer county,False
place vendôme,place vendôme,False
lübeck,lübeck,False
lyon,lyon,False
paris,paris,False
place du carrousel,place du carrousel,False
parma,parma,False
luxor,luxor,False
place de la concorde,place de la concorde,False
place de la bastille,place de la bastille,False
lunéville,lunéville,False
lugano,lugano,False
ludwigsburg,ludwigsburg,False
lucknow,lucknow,False
place de l'hôtel-de-ville,place de l'hôtel-de-ville,False
pittsfield,pittsfield,False
lucca,lucca,False
madrid,madrid,False
madura,madura,False
plains,plains,False
malang,malang,False
mantua,mantua,False
mannheim,mannheim,False
manchester,manchester,False
malta,malta,False
plaza del triunfo,plaza del triunfo,False
plaza de oriente,plaza de oriente,False
plaza de las cortes,plaza de las cortes,False
mali,mali,False
malaysia,malaysia,False
plaza de colón,plaza de colón,False
plantage middenlaan,plantage middenlaan,False
plauen,plauen,False
plattsmouth,plattsmouth,False
plateau de gravelle,plateau de gravelle,False
polis,polis,False
platanias,platanias,False
maine,maine,False
maghreb,maghreb,False
plasmolen,plasmolen,False
madurai,madurai,False
poitiers,poitiers,False
monnickendam,monnickendam,False
polonnaruwa,polonnaruwa,False
new haven,new haven,False
nieuwer-amstel,nieuwer-amstel,False
oxfordshire,oxfordshire,False
nieuwediep,nieuwediep,False
nice,nice,False
padua,padua,False
new zealand,new zealand,False
new york city,new york city,False
paestum,paestum,False
palermo,palermo,False
new york,new york,False
portsmouth,portsmouth,False
new mexico,new mexico,False
new hampshire,new hampshire,False
oxford,oxford,False
new england,new england,False
portofino,portofino,False
porto,porto,False
neuruppin,neuruppin,False
netherlands,netherlands,False
nepal,nepal,False
nazca valley,nazca valley,False
pottschach,pottschach,False
poughkeepsie,poughkeepsie,False
poznan,poznan,False
pozzuoli,pozzuoli,False
pragser wildsee,pragser wildsee,False
prospect hill,prospect hill,False
nijmegen,nijmegen,False
portland,portland,False
northern europe,northern europe,False
nottingham,nottingham,False
norwich,norwich,False
nîmes,nîmes,False
norway,norway,False
northwestern iran,northwestern iran,False
northern netherlands,northern netherlands,False
oberammergau,oberammergau,False
oegstgeest,oegstgeest,False
ohio,ohio,False
northern italy,northern italy,False
northern india,northern india,False
northern france,northern france,False
north india,north india,False
oudewater,oudewater,False
noordwijk aan zee,noordwijk aan zee,False
noordwijk,noordwijk,False
oostende,oostende,False
oosterbeek,oosterbeek,False
orléans,orléans,False
osaka,osaka,False
oslo,oslo,False
ottoman empire,ottoman empire,False
nishapur,nishapur,False
oudenaarde,oudenaarde,False
ouder-amstel,ouder-amstel,False
nikko,nikko,False
prairie avenue,prairie avenue,False
prairie city,prairie city,False
metz,metz,False
midwest,midwest,False
prinsegracht,prinsegracht,False
morocco,morocco,False
prinz-albrecht-palais,prinz-albrecht-palais,False
moordrecht,moordrecht,False
nuremberg,nuremberg,False
mongolia,mongolia,False
monaco,monaco,False
moche valley,moche valley,False
milan,milan,False
pontefract,pontefract,False
ponte dei sospiri,ponte dei sospiri,False
ponte capriasca,ponte capriasca,False
pontarlier,pontarlier,False
pontgibaud,pontgibaud,False
pontaillac,pontaillac,False
pont-en-royans,pont-en-royans,False
pont-de-l'arche,pont-de-l'arche,False
pont-aven,pont-aven,False
pont-audemer,pont-audemer,False
pont royal,pont royal,False
middelburg,middelburg,False
michigan,michigan,False
palestine,palestine,False
pont du loup,pont du loup,False
pont christ,pont christ,False
mexico,mexico,False
prešov,prešov,False
pontianak,pontianak,False
prambanan,prambanan,False
port huron,port huron,False
prato,prato,False
portici,portici,False
portchester castle,portchester castle,False
preanger,preanger,False
naples,naples,False
port-au-prince,port-au-prince,False
nantes,nantes,False
nancy,nancy,False
port tewfik,port tewfik,False
port royal,port royal,False
port mahon,port mahon,False
nagasaki,nagasaki,False
port elizabeth,port elizabeth,False
preston,preston,False
mysore,mysore,False
port dieu,port dieu,False
port arthur,port arthur,False
porlezza,porlezza,False
myanmar,myanmar,False
poortugaal,poortugaal,False
pontresina,pontresina,False
mumbai,mumbai,False
mulhouse,mulhouse,False
muiden,muiden,False
pontoise,pontoise,False
prestbury,prestbury,False
nigeria,nigeria,False
rabat,rabat,False
provence,provence,False
roßtrappe,roßtrappe,False
ruhla,ruhla,False
rueil-malmaison,rueil-malmaison,False
jingdezhen,jingdezhen,False
rue du temple,rue du temple,False
rue de rivoli,rue de rivoli,False
rue de la paix,rue de la paix,False
rudolstadt,rudolstadt,False
rudkøbing,rudkøbing,False
royat,royat,False
ruinerwold,ruinerwold,False
royan,royan,False
royal victoria hospital,royal victoria hospital,False
jogjakarta,jogjakarta,False
jouy-en-josas,jouy-en-josas,False
roxbury,roxbury,False
roubaix,roubaix,False
rottum,rottum,False
kabanjahe,kabanjahe,False
ruinen,ruinen,False
runkel,runkel,False
roti,roti,False
rye,rye,False
ithaca,ithaca,False
rüygen,rüygen,False
rüdesheim,rüdesheim,False
rübeland,rübeland,False
rörstrand,rörstrand,False
römhild,römhild,False
japan,japan,False
rättvik,rättvik,False
ryde,ryde,False
jersey,jersey,False
rydal,rydal,False
ruynes-en-margeride,ruynes-en-margeride,False
ruurlo,ruurlo,False
rutland,rutland,False
rutherglen,rutherglen,False
jatiroto,jatiroto,False
java,java,False
russische kerk van de heilige elisabeth,russische kerk van de heilige elisabeth,False
kalimantan,kalimantan,False
rothenburg ob der tauber,rothenburg ob der tauber,False
rochefort-montagne,rochefort-montagne,False
rocky mountains,rocky mountains,False
rohrbach,rohrbach,False
rofen,rofen,False
roeselare,roeselare,False
karlsruhe,karlsruhe,False
roelofarendsveen,roelofarendsveen,False
kashan,kashan,False
rode fort,rode fort,False
roda,roda,False
rocky mountain national park,rocky mountain national park,False
rolandseck,rolandseck,False
rockland saint mary,rockland saint mary,False
rockingham county,rockingham county,False
rockford,rockford,False
rockanje,rockanje,False
rochetaillée,rochetaillée,False
kassel,kassel,False
rochester,rochester,False
rochers de naye,rochers de naye,False
rokin,rokin,False
rolde,rolde,False
kampen,kampen,False
rosheim,rosheim,False
rotenburg an der fulda,rotenburg an der fulda,False
rostock,rostock,False
rosslyn chapel,rosslyn chapel,False
rossiya republic,rossiya republic,False
ross-on-wye,ross-on-wye,False
rosmalen,rosmalen,False
roslin,roslin,False
roskilde,roskilde,False
roquebrune-cap-martin,roquebrune-cap-martin,False
rolduc,rolduc,False
roosendaal,roosendaal,False
roorkee,roorkee,False
roode steen,roode steen,False
ronneburg,ronneburg,False
romsdalen,romsdalen,False
romkerwasserfall,romkerwasserfall,False
karlberg palace,karlberg palace,False
romania,romania,False
s. maria delle grazie,s. maria delle grazie,False
s. miniato,s. miniato,False
s. rufino,s. rufino,False
saint-jouin,saint-jouin,False
saint-mandé,saint-mandé,False
saint-mandrier-sur-mer,saint-mandrier-sur-mer,False
saint-malo,saint-malo,False
saint-légier-la chiésaz,saint-légier-la chiésaz,False
saint-louis,saint-louis,False
saint-leu-d'esserent,saint-leu-d'esserent,False
saint-laurent,saint-laurent,False
saint-julien-beychevelle,saint-julien-beychevelle,False
saint-jeannet,saint-jeannet,False
saint-maur-des-fossés,saint-maur-des-fossés,False
saint-jean-de-luz,saint-jean-de-luz,False
saint-imier,saint-imier,False
saint-ilpize,saint-ilpize,False
saint-hilaire-le-grand,saint-hilaire-le-grand,False
saint-gilles-du-gard,saint-gilles-du-gard,False
saint-gervais-saint-protais,saint-gervais-saint-protais,False
saint-gervais-les-bains,saint-gervais-les-bains,False
saint-germain,saint-germain,False
saint-martin-de-boscherville,saint-martin-de-boscherville,False
saint-michel-de-maurienne,saint-michel-de-maurienne,False
s. zeno,s. zeno,False
iraq,iraq,False
sainte-anne-de-beaupré,sainte-anne-de-beaupré,False
sainte-agnès,sainte-agnès,False
sainte-adresse,sainte-adresse,False
saint-étienne-du-mont,saint-étienne-du-mont,False
saint-étienne,saint-étienne,False
saint-émilion,saint-émilion,False
saint-yrieix-la-perche,saint-yrieix-la-perche,False
saint-vougay,saint-vougay,False
saint-tropez,saint-tropez,False
saint-nectaire,saint-nectaire,False
saint-trond,saint-trond,False
saint-thégonnec,saint-thégonnec,False
saint-rémy-lès-chevreuse,saint-rémy-lès-chevreuse,False
saint-rémy-de-provence,saint-rémy-de-provence,False
saint-pé-de-bigorre,saint-pé-de-bigorre,False
saint-privat-d'allier,saint-privat-d'allier,False
saint-ouen,saint-ouen,False
saint-omer,saint-omer,False
saint-georges-de-didonne,saint-georges-de-didonne,False
saint-gaudens,saint-gaudens,False
saint-flour,saint-flour,False
sagunto,sagunto,False
saint george's island,saint george's island,False
saint croix,saint croix,False
saint botolph's church,saint botolph's church,False
saint augustine,saint augustine,False
saint andrews,saint andrews,False
sailana,sailana,False
saighton,saighton,False
saharanpur,saharanpur,False
sagar,sagar,False
saint-estèphe,saint-estèphe,False
sadda,sadda,False
sacramento,sacramento,False
sachsenhausen,sachsenhausen,False
sabang,sabang,False
saba,saba,False
saarbrücken,saarbrücken,False
saalfeld,saalfeld,False
italy,italy,False
saint helier,saint helier,False
saint john the baptist church,saint john the baptist church,False
saint johnsbury,saint johnsbury,False
istanbul,istanbul,False
ireland,ireland,False
saint-denis,saint-denis,False
saint-coulomb,saint-coulomb,False
saint-chamas,saint-chamas,False
saint-briac-sur-mer,saint-briac-sur-mer,False
saint-bonnet-le-château,saint-bonnet-le-château,False
saint-andré-sur-sèvre,saint-andré-sur-sèvre,False
saint-amand-montrond,saint-amand-montrond,False
saint-amand-les-eaux,saint-amand-les-eaux,False
saint thomas,saint thomas,False
saint regis mountain,saint regis mountain,False
isle of wight,isle of wight,False
saint paul's cathedral,saint paul's cathedral,False
saint paul,saint paul,False
israel,israel,False
saint mary and saint nicolas' church,saint mary and saint nicolas' church,False
saint leonard's wortley church,saint leonard's wortley church,False
rocher de la vierge,rocher de la vierge,False
rochdale,rochdale,False
prísecná,prísecná,False
rambervillers,rambervillers,False
rangeley lake,rangeley lake,False
lenzerheide,lenzerheide,False
ramsgate,ramsgate,False
ramsau bei berchtesgaden,ramsau bei berchtesgaden,False
ramla,ramla,False
rameswaram,rameswaram,False
lille,lille,False
rambouillet,rambouillet,False
ramat-gan,ramat-gan,False
rapallo,rapallo,False
rajputana,rajputana,False
raigad,raigad,False
ragusa,ragusa,False
raglan castle,raglan castle,False
raglan,raglan,False
raftsundet,raftsundet,False
radauwasserfall,radauwasserfall,False
rabbi,rabbi,False
ranworth,ranworth,False
rappin,rappin,False
raamsdonksveer,raamsdonksveer,False
rech,rech,False
reichenbachwaterval,reichenbachwaterval,False
reichenbach,reichenbach,False
reggio di calabria,reggio di calabria,False
regent's park,regent's park,False
regent street,regent street,False
reeuwijk,reeuwijk,False
rees,rees,False
reek,reek,False
recco,recco,False
raqqa,raqqa,False
real de catorce,real de catorce,False
leipzig,leipzig,False
reading,reading,False
ravinia,ravinia,False
ravenstein,ravenstein,False
ravello,ravello,False
rathfarnham,rathfarnham,False
rathausmarkt,rathausmarkt,False
limoges,limoges,False
raalte,raalte,False
rocca di papa,rocca di papa,False
pune,pune,False
london,london,False
puttershoek,puttershoek,False
putten,putten,False
putney,putney,False
puthia,puthia,False
purworejo,purworejo,False
punta rassa,punta rassa,False
loosdrecht,loosdrecht,False
punderich,punderich,False
pyrénées-atlantiques,pyrénées-atlantiques,False
pulchri studio,pulchri studio,False
puiseaux,puiseaux,False
puiflijk,puiflijk,False
puerto rico,puerto rico,False
puerto de la cruz,puerto de la cruz,False
low countries,low countries,False
lowell,lowell,False
puebla,puebla,False
puyricard,puyricard,False
périgueux,périgueux,False
raadvad,raadvad,False
queenston,queenston,False
liverpool,liverpool,False
qutb-complex,qutb-complex,False
quiçama,quiçama,False
liège,liège,False
quincy,quincy,False
quimperlé,quimperlé,False
quimper,quimper,False
quettehou,quettehou,False
queensferry,queensferry,False
pößneck,pößneck,False
quedlinburg,quedlinburg,False
qom,qom,False
lochem,lochem,False
qingdao,qingdao,False
qeqertarsuaq,qeqertarsuaq,False
qazvin,qazvin,False
qasr ibrim,qasr ibrim,False
qasr al-nil-brug,qasr al-nil-brug,False
reichenberg,reichenberg,False
reichswald,reichswald,False
reigate,reigate,False
riel,riel,False
rijksdorp,rijksdorp,False
rijks ethnographisch museum,rijks ethnographisch museum,False
rijen,rijen,False
rigi kulm,rigi kulm,False
rigi,rigi,False
koog aan de zaan,koog aan de zaan,False
rietspruit,rietspruit,False
riesengebirge,riesengebirge,False
riedlingen,riedlingen,False
koblenz,koblenz,False
riddarholmen,riddarholmen,False
rickmansworth,rickmansworth,False
richmond upon thames,richmond upon thames,False
richmond park,richmond park,False
richmond hill,richmond hill,False
korea,korea,False
kortrijk,kortrijk,False
kyoto,kyoto,False
kolkata,kolkata,False
rijnsaterwoude,rijnsaterwoude,False
reksosari,reksosari,False
ripoll,ripoll,False
rocamadour,rocamadour,False
rixheim,rixheim,False
riverside,riverside,False
river edge,river edge,False
rive-de-gier,rive-de-gier,False
riva del garda,riva del garda,False
riva degli schiavoni,riva degli schiavoni,False
ripon,ripon,False
riouw archipelago,riouw archipelago,False
rijnsburg,rijnsburg,False
riom,riom,False
rinteln,rinteln,False
rinnoji,rinnoji,False
rimini,rimini,False
rimbach-près-masevaux,rimbach-près-masevaux,False
rijssen,rijssen,False
rijpwetering,rijpwetering,False
katwijk aan zee,katwijk aan zee,False
richmond,richmond,False
königsberg,königsberg,False
rhône-alpes,rhône-alpes,False
renfrewshire,renfrewshire,False
lausanne,lausanne,False
le havre,le havre,False
leeds,leeds,False
leeuwarden,leeuwarden,False
renswoude,renswoude,False
rennes,rennes,False
renkum,renkum,False
rengsdorf,rengsdorf,False
renesse,renesse,False
rhône,rhône,False
remscheid,remscheid,False
leiden,leiden,False
remojadas,remojadas,False
remiremont,remiremont,False
remich,remich,False
rembrandtplein,rembrandtplein,False
rembang,rembang,False
remagen,remagen,False
laren,laren,False
lake district,lake district,False
lahore,lahore,False
königswinter,königswinter,False
rhynern,rhynern,False
rhyl,rhyl,False
rhoon,rhoon,False
rhode island,rhode island,False
rhineland palatinate,rhineland palatinate,False
rhineland,rhineland,False
rhine,rhine,False
rhens,rhens,False
rhenen,rhenen,False
rheineck,rheineck,False
rhein,rhein,False
rheden,rheden,False
rhaan,rhaan,False
rey,rey,False
reuzengebergte,reuzengebergte,False
reutlingen,reutlingen,False
reuss,reuss,False
pistoia,pistoia,False
birkenau,birkenau,False
pirmasens,pirmasens,False
niger,niger,False
nikko toshogu,nikko toshogu,False
nijswiller,nijswiller,False
nijkerk,nijkerk,False
nijeveen,nijeveen,False
nijbroek,nijbroek,False
niigata,niigata,False
nigtevecht,nigtevecht,False
sumatra,sumatra,False
nievería,nievería,False
nilgiri,nilgiri,False
nieuwveen,nieuwveen,False
surabaya,surabaya,False
surat,surat,False
nieuwmarkt,nieuwmarkt,False
nieuwkoop,nieuwkoop,False
nieuwersluis,nieuwersluis,False
nieuwerkerk aan den ijssel,nieuwerkerk aan den ijssel,False
nieuwenhoorn,nieuwenhoorn,False
nikkō tōshō-gū,nikkō tōshō-gū,False
nilgiris,nilgiris,False
noorden,noorden,False
nonnenwerth,nonnenwerth,False
spitalfields,spitalfields,False
sri lanka,sri lanka,False
staffordshire,staffordshire,False
steglitz,steglitz,False
stirling,stirling,False
stockholm,stockholm,False
stoke-on-trent,stoke-on-trent,False
stuttgart,stuttgart,False
nonancourt,nonancourt,False
nimrud,nimrud,False
nola,nola,False
nogent-sur-seine,nogent-sur-seine,False
nogent-sur-marne,nogent-sur-marne,False
nizhniy novgorod,nizhniy novgorod,False
nivelles,nivelles,False
nistelrode,nistelrode,False
nisse,nisse,False
ningh-sia,ningh-sia,False
nieuwendijk,nieuwendijk,False
nieuwendam,nieuwendam,False
nieuwehorne,nieuwehorne,False
niagara falls,niagara falls,False
nicoya,nicoya,False
nicomedia,nicomedia,False
switzerland,switzerland,False
sydney,sydney,False
nicaragua,nicaragua,False
niagara falls suspension bridge,niagara falls suspension bridge,False
syracuse,syracuse,False
syria,syria,False
niagara clifton bridge,niagara clifton bridge,False
nieuwegein,nieuwegein,False
niagara,niagara,False
nganjuk,nganjuk,False
ngamplang,ngamplang,False
ngali,ngali,False
newton,newton,False
newport-on-tay,newport-on-tay,False
sèvres,sèvres,False
tahiti,tahiti,False
sweden,sweden,False
nideggen,nideggen,False
niderviller,niderviller,False
niederauerbach,niederauerbach,False
nieuwe wetering,nieuwe wetering,False
nieuwe rijn,nieuwe rijn,False
suriname,suriname,False
nieuwe kerk,nieuwe kerk,False
nieuwe haven,nieuwe haven,False
nieuwe doelen,nieuwe doelen,False
nieuwe amstelstraat,nieuwe amstelstraat,False
nieuwaal,nieuwaal,False
nieuw-vennep,nieuw-vennep,False
nieuw-loosdrecht,nieuw-loosdrecht,False
nieuw-guinea,nieuw-guinea,False
nieuw-antwerpen,nieuw-antwerpen,False
surrey,surrey,False
niesky,niesky,False
niederwald,niederwald,False
niederheimbach,niederheimbach,False
niederbreisig,niederbreisig,False
spain or portugal,spain or portugal,False
noordgouwe,noordgouwe,False
newlyn,newlyn,False
sevilla,sevilla,False
schaffhausen,schaffhausen,False
scheveningen,scheveningen,False
schiedam,schiedam,False
schleswig,schleswig,False
schoonhoven,schoonhoven,False
schwarzburg,schwarzburg,False
scotland,scotland,False
semarang,semarang,False
shanghai,shanghai,False
saxony,saxony,False
shanklin,shanklin,False
shantou,shantou,False
siegburg,siegburg,False
siena,siena,False
singapore,singapore,False
sint-petersburg,sint-petersburg,False
sint-pietersbasiliek,sint-pietersbasiliek,False
skälsebo,skälsebo,False
schaarbeek,schaarbeek,False
saudi arabia,saudi arabia,False
noordhollandsch kanaal,noordhollandsch kanaal,False
